strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
ei,10,ambient,35,31,230.2481,Y0.22 S0.33 H0.45,240.00,0.2978
ei,11,ambient,35,27,94.4268,Ca0.53 H0.47,452.12,0.2945
ei,12,ambient,35,32,291.5440,S0.08 Ca0.43 H0.49,145.40,0.2982
ei,13,ambient,35,32,299.1555,S0.06 Ca0.44 H0.50,434.16,0.2968
ei,14,ambient,35,31,157.3561,B0.09 Li0.42 H0.49,164.98,0.2978
ei,15,ambient,35,28,39.2190,La0.18 H0.82,286.45,0.2964
ei,16,ambient,35,33,245.3232,S0.31 Ce0.25 H0.44,215.35,0.3000
ei,17,ambient,35,29,309.1062,C0.08 Li0.43 H0.49,83.77,0.2967
ei,18,ambient,35,32,50.6089,La0.17 H0.83,156.98,0.3057
ei,19,ambient,35,31,137.2424,Ca0.49 H0.51,331.07,0.3387
ei,20,ambient,35,33,279.2690,S0.09 Ca0.42 H0.50,62.39,0.3044
ei,21,ambient,35,33,244.2334,S0.34 La0.23 H0.44,234.52,0.3246
ei,22,ambient,35,29,330.5856,S0.03 Ca0.47 H0.50,429.30,0.3175
ei,23,ambient,35,31,260.4550,La0.36 S0.12 H0.52,153.76,0.2986
ei,24,ambient,35,30,115.9881,S0.28 Ca0.43 H0.29,382.46,0.2954
ei,25,ambient,35,30,58.3823,Mg0.01 C0.14 H0.85,10.41,0.3027
ei,26,ambient,35,30,121.0176,Mg0.22 Li0.27 H0.51,70.23,0.2986
ei,27,ambient,35,31,195.4563,S0.12 Ca0.42 H0.46,368.76,0.2987
ei,28,ambient,35,31,162.6650,La0.35 S0.20 H0.45,78.86,0.2972
ei,29,ambient,35,25,307.7062,Li0.42 C0.08 H0.50,286.99,0.2999
ei,30,ambient,35,32,23.0144,Mg0.16 H0.84,464.34,0.3045
ei,31,ambient,35,27,218.4087,Li0.45 S0.07 H0.48,414.50,0.3192
ei,32,ambient,35,32,295.9962,Ca0.44 S0.06 H0.51,326.32,0.3055
ei,33,ambient,35,31,137.1946,Ca0.37 Li0.15 H0.48,301.75,0.3201
ei,34,ambient,35,32,172.1443,Ca0.46 S0.08 H0.46,396.22,0.2999
ei,35,ambient,35,28,154.6476,La0.23 Li0.27 H0.50,394.63,0.2973
ei,36,ambient,35,33,285.6304,C0.12 Li0.40 H0.48,148.14,0.3060
ei,37,ambient,35,32,192.7084,C0.06 Li0.42 H0.52,163.56,0.2976
ei,38,ambient,35,25,38.9944,Li0.73 H0.27,438.86,0.2921
ei,39,ambient,35,29,247.8589,Ca0.42 S0.10 H0.48,35.91,0.2970
ei,40,ambient,35,30,103.4893,Li0.42 Y0.06 H0.52,498.62,0.2984
ei,41,ambient,35,30,203.7796,Y0.33 S0.16 H0.51,256.03,0.2991
ei,42,ambient,35,29,158.0748,Li0.36 Ca0.15 H0.49,197.08,0.2998
ei,43,ambient,35,26,58.6049,Ce0.18 H0.82,53.88,0.2984
ei,44,ambient,35,29,144.0366,Y0.09 Li0.43 H0.48,292.86,0.2971
ei,45,ambient,35,28,200.1142,La0.32 S0.22 H0.46,114.05,0.2966
ei,46,ambient,35,27,247.8211,C0.10 Ca0.41 H0.49,289.17,0.3003
ei,47,ambient,35,27,51.1360,B0.04 Ce0.13 H0.83,380.22,0.3067
ei,48,ambient,35,29,251.3421,C0.24 Li0.28 H0.49,230.97,0.3108
ei,49,ambient,35,32,150.6795,Li0.53 H0.47,236.12,0.3078
ei,50,ambient,35,30,235.9193,S0.17 Li0.39 H0.44,468.23,0.3020
thompson,1,ambient,35,32,18.5961,Ca0.04 Mg0.10 H0.86,381.00,0.3065
thompson,2,ambient,35,30,119.7002,Y0.41 S0.06 H0.53,82.25,0.3000
thompson,3,ambient,35,30,189.8646,La0.18 S0.33 H0.49,238.34,0.3156
thompson,4,ambient,35,31,114.1278,S0.32 Ce0.29 H0.39,472.97,0.2993
thompson,5,ambient,35,31,146.1671,Ca0.50 H0.50,146.94,0.3181
thompson,6,ambient,35,31,87.1736,Y0.09 S0.45 H0.47,109.44,0.3006
thompson,7,ambient,35,33,217.2887,S0.04 Li0.50 H0.46,206.12,0.3123
thompson,8,ambient,35,31,150.5806,Li0.51 H0.49,142.07,0.2988
thompson,9,ambient,35,30,268.1303,C0.04 Li0.46 H0.50,216.68,0.2956
thompson,10,ambient,35,30,147.6122,Li0.24 Ca0.28 H0.48,463.91,0.2993
thompson,11,ambient,35,29,218.0631,S0.38 Ce0.17 H0.44,365.53,0.2974
thompson,12,ambient,35,31,102.7428,S0.30 Ce0.39 H0.31,317.45,0.2966
thompson,13,ambient,35,31,90.9170,Li0.59 H0.41,111.47,0.2966
thompson,14,ambient,35,32,58.9132,Li0.55 B0.04 H0.41,147.07,0.2984
thompson,15,ambient,35,29,115.8582,Ca0.22 Li0.31 H0.47,201.00,0.3080
thompson,16,ambient,35,28,231.1099,S0.22 Ca0.34 H0.44,306.64,0.3018
thompson,17,ambient,35,32,90.4000,Ca0.47 H0.53,70.79,0.3158
thompson,18,ambient,35,29,59.7104,La0.33 Ca0.20 H0.48,166.83,0.2978
thompson,19,ambient,35,27,143.7865,Li0.51 H0.49,101.13,0.3202
thompson,20,ambient,35,33,206.4625,S0.25 Y0.29 H0.46,194.54,0.3024
thompson,21,ambient,35,32,162.3333,S0.05 Li0.53 H0.42,251.18,0.3030
thompson,22,ambient,35,31,327.3837,S0.03 Ca0.47 H0.50,429.30,0.3134
thompson,23,ambient,35,30,221.3262,S0.27 Y0.28 H0.45,320.05,0.3000
thompson,24,ambient,35,30,88.5452,Ce0.40 Li0.12 H0.48,478.20,0.3041
